ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh];i_coating-material[kg];i_coating-material-waste[kg]
e_coat_194;2023-04-03 08:17:52;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_195;2023-04-03 08:17:59;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_193;2023-04-03 08:18:06;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_188;2023-04-03 08:18:22;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_196;2023-04-03 08:18:33;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_198;2023-04-03 08:18:42;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_199;2023-04-03 08:18:43;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_197;2023-04-03 08:19:14;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_200;2023-04-03 08:19:21;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_201;2023-04-03 08:19:44;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_205;2023-04-03 08:19:59;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_203;2023-04-03 08:20:02;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_202;2023-04-03 08:20:18;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_206;2023-04-03 08:20:29;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_207;2023-04-03 08:20:37;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_208;2023-04-03 08:20:43;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_204;2023-04-03 08:21:14;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_210;2023-04-03 08:21:38;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_209;2023-04-03 08:21:49;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_214;2023-04-03 08:22:25;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_211;2023-04-03 08:22:31;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_215;2023-04-03 08:22:41;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_213;2023-04-03 08:22:51;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_218;2023-04-03 08:22:54;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_212;2023-04-03 08:23:01;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_216;2023-04-03 08:23:07;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_220;2023-04-03 08:23:38;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_217;2023-04-03 08:24:02;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_219;2023-04-03 08:24:13;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_222;2023-04-03 08:24:35;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_223;2023-04-03 08:24:41;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_224;2023-04-03 08:24:50;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_221;2023-04-03 08:25:01;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_225;2023-04-03 08:25:19;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_226;2023-04-03 08:25:47;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_227;2023-04-03 08:25:50;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_228;2023-04-03 08:26:23;300.0;0.1751156951;0.25;0.0004;0.0001
