ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_compressed-air[m3]
e_checkMale_1149>true;2023-04-03 14:11:04;?;0.00168948;0.026
e_checkMale_640>true;2023-04-03 14:11:25;?;0.00051984;0.008
e_checkMale_843>true;2023-04-03 14:11:56;?;0.00266418;0.041
e_checkMale_761>true;2023-04-03 14:12:06;?;0.00136458;0.021
e_checkMale_726>true;2023-04-03 14:12:28;?;0.00071478;0.011
e_checkMale_771>true;2023-04-03 14:12:38;?;0.0;0.0
e_checkMale_910>true;2023-04-03 14:12:48;?;0.0016245;0.025
e_checkMale_813>true;2023-04-03 14:13:19;?;0.00201438;0.031
e_checkMale_700>true;2023-04-03 14:13:40;?;0.00019494;0.003
e_checkMale_653>true;2023-04-03 14:13:50;?;0.00058482;0.009
e_checkMale_806>true;2023-04-03 14:14:22;?;0.0003249;0.005
e_checkMale_999>true;2023-04-03 14:15:25;?;0.00110466;0.017
e_checkMale_1207>true;2023-04-03 14:15:35;?;0.0006498;0.01
e_checkMale_357>true;2023-04-03 14:15:45;?;0.0022743;0.035
e_checkMale_979>true;2023-04-03 14:15:56;?;0.00110466;0.017
e_checkMale_1266>true;2023-04-03 14:16:27;?;0.0006498;0.01
e_checkMale_1278>true;2023-04-03 14:17:20;?;0.00155952;0.024
e_checkMale_1075>true;2023-04-03 14:17:31;?;0.00142956;0.022
e_checkMale_616>true;2023-04-03 14:18:02;?;0.00188442;0.029
e_checkMale_865>true;2023-04-03 14:18:13;?;0.00077976;0.012
e_checkMale_1344>true;2023-04-03 14:18:23;?;0.00084474;0.013
e_checkMale_967>true;2023-04-03 14:18:54;?;0.0012996;0.02
