ocel_id;ocel_type
o_steelpin_450;SteelPin
o_steelpin_451;SteelPin
o_steelpin_452;SteelPin
o_steelpin_453;SteelPin
o_steelpin_454;SteelPin
o_steelpin_455;SteelPin
o_steelpin_456;SteelPin
o_steelpin_457;SteelPin
o_steelpin_458;SteelPin
o_steelpin_459;SteelPin
o_steelpin_460;SteelPin
o_steelpin_461;SteelPin
o_steelpin_462;SteelPin
o_steelpin_463;SteelPin
o_steelpin_464;SteelPin
o_steelpin_465;SteelPin
o_steelpin_466;SteelPin
o_steelpin_467;SteelPin
o_steelpin_468;SteelPin
o_steelpin_469;SteelPin
o_steelpin_470;SteelPin
o_steelpin_471;SteelPin
o_steelpin_472;SteelPin
o_steelpin_473;SteelPin
o_steelpin_474;SteelPin
o_steelpin_475;SteelPin
o_steelpin_476;SteelPin
o_steelpin_477;SteelPin
o_steelpin_478;SteelPin
o_steelpin_479;SteelPin
o_steelpin_480;SteelPin
o_steelpin_481;SteelPin
o_steelpin_482;SteelPin
o_steelpin_483;SteelPin
o_steelpin_484;SteelPin
o_steelpin_485;SteelPin
o_steelpin_486;SteelPin
o_steelpin_487;SteelPin
o_steelpin_488;SteelPin
o_steelpin_489;SteelPin
o_steelpin_490;SteelPin
o_steelpin_491;SteelPin
o_steelpin_492;SteelPin
o_steelpin_493;SteelPin
o_steelpin_494;SteelPin
o_steelpin_495;SteelPin
o_steelpin_496;SteelPin
o_steelpin_497;SteelPin
o_steelpin_498;SteelPin
o_steelpin_499;SteelPin
o_steelpin_500;SteelPin
o_steelpin_501;SteelPin
o_steelpin_502;SteelPin
o_steelpin_503;SteelPin
o_steelpin_504;SteelPin
o_steelpin_505;SteelPin
o_steelpin_506;SteelPin
o_steelpin_507;SteelPin
o_steelpin_508;SteelPin
o_steelpin_509;SteelPin
o_steelpin_510;SteelPin
o_steelpin_511;SteelPin
o_steelpin_512;SteelPin
o_steelpin_513;SteelPin
o_steelpin_514;SteelPin
o_steelpin_515;SteelPin
o_steelpin_516;SteelPin
o_steelpin_517;SteelPin
o_steelpin_518;SteelPin
o_steelpin_519;SteelPin
o_steelpin_520;SteelPin
o_steelpin_521;SteelPin
o_steelpin_522;SteelPin
o_steelpin_523;SteelPin
o_steelpin_524;SteelPin
o_steelpin_525;SteelPin
o_steelpin_526;SteelPin
o_steelpin_527;SteelPin
o_steelpin_528;SteelPin
o_steelpin_529;SteelPin
o_steelpin_530;SteelPin
o_steelpin_531;SteelPin
o_steelpin_532;SteelPin
o_steelpin_533;SteelPin
o_steelpin_534;SteelPin
o_steelpin_535;SteelPin
o_steelpin_536;SteelPin
o_steelpin_537;SteelPin
o_steelpin_538;SteelPin
o_steelpin_539;SteelPin
o_steelpin_540;SteelPin
o_steelpin_541;SteelPin
o_steelpin_542;SteelPin
o_steelpin_543;SteelPin
o_steelpin_544;SteelPin
o_steelpin_545;SteelPin
o_steelpin_546;SteelPin
o_steelpin_547;SteelPin
o_steelpin_548;SteelPin
o_steelpin_549;SteelPin
o_steelpin_550;SteelPin
o_steelpin_551;SteelPin
o_steelpin_552;SteelPin
o_steelpin_553;SteelPin
o_steelpin_554;SteelPin
o_steelpin_555;SteelPin
o_steelpin_556;SteelPin
o_steelpin_557;SteelPin
o_steelpin_558;SteelPin
o_steelpin_559;SteelPin
o_steelpin_560;SteelPin
o_steelpin_561;SteelPin
o_steelpin_562;SteelPin
o_steelpin_563;SteelPin
o_steelpin_564;SteelPin
o_steelpin_565;SteelPin
o_steelpin_566;SteelPin
o_steelpin_567;SteelPin
o_steelpin_568;SteelPin
o_steelpin_569;SteelPin
o_steelpin_570;SteelPin
o_steelpin_571;SteelPin
o_steelpin_572;SteelPin
o_steelpin_573;SteelPin
o_steelpin_574;SteelPin
o_steelpin_575;SteelPin
o_steelpin_576;SteelPin
o_steelpin_577;SteelPin
o_steelpin_578;SteelPin
o_steelpin_579;SteelPin
o_steelpin_580;SteelPin
o_steelpin_581;SteelPin
o_steelpin_582;SteelPin
o_steelpin_583;SteelPin
o_steelpin_584;SteelPin
o_steelpin_585;SteelPin
o_steelpin_586;SteelPin
o_steelpin_587;SteelPin
o_steelpin_588;SteelPin
o_steelpin_589;SteelPin
o_steelpin_590;SteelPin
o_steelpin_591;SteelPin
o_steelpin_592;SteelPin
o_steelpin_593;SteelPin
o_steelpin_594;SteelPin
o_steelpin_595;SteelPin
o_steelpin_596;SteelPin
o_steelpin_597;SteelPin
o_steelpin_598;SteelPin
o_steelpin_599;SteelPin
o_steelpin_600;SteelPin
o_steelpin_601;SteelPin
o_steelpin_602;SteelPin
o_steelpin_603;SteelPin
o_steelpin_604;SteelPin
o_steelpin_605;SteelPin
o_steelpin_606;SteelPin
o_steelpin_607;SteelPin
o_steelpin_608;SteelPin
o_steelpin_609;SteelPin
o_steelpin_610;SteelPin
o_steelpin_611;SteelPin
o_steelpin_612;SteelPin
o_steelpin_613;SteelPin
o_steelpin_614;SteelPin
o_steelpin_615;SteelPin
o_steelpin_616;SteelPin
o_steelpin_617;SteelPin
o_steelpin_618;SteelPin
o_steelpin_619;SteelPin
o_steelpin_620;SteelPin
o_steelpin_621;SteelPin
o_steelpin_622;SteelPin
o_steelpin_623;SteelPin
o_steelpin_624;SteelPin
o_steelpin_625;SteelPin
o_steelpin_626;SteelPin
o_steelpin_627;SteelPin
o_steelpin_628;SteelPin
o_steelpin_629;SteelPin
o_steelpin_630;SteelPin
o_steelpin_631;SteelPin
o_steelpin_632;SteelPin
o_steelpin_633;SteelPin
o_steelpin_634;SteelPin
o_steelpin_635;SteelPin
o_steelpin_636;SteelPin
o_steelpin_637;SteelPin
o_steelpin_638;SteelPin
o_steelpin_639;SteelPin
o_steelpin_640;SteelPin
o_steelpin_641;SteelPin
o_steelpin_642;SteelPin
o_steelpin_643;SteelPin
o_steelpin_644;SteelPin
o_steelpin_645;SteelPin
o_steelpin_646;SteelPin
o_steelpin_647;SteelPin
o_steelpin_648;SteelPin
o_steelpin_649;SteelPin
o_steelpin_650;SteelPin
o_steelpin_651;SteelPin
o_steelpin_652;SteelPin
o_steelpin_653;SteelPin
o_steelpin_654;SteelPin
o_steelpin_655;SteelPin
o_steelpin_656;SteelPin
o_steelpin_657;SteelPin
o_steelpin_658;SteelPin
o_steelpin_659;SteelPin
o_steelpin_660;SteelPin
o_steelpin_661;SteelPin
o_steelpin_662;SteelPin
o_steelpin_663;SteelPin
o_steelpin_664;SteelPin
o_steelpin_665;SteelPin
o_steelpin_666;SteelPin
o_steelpin_667;SteelPin
o_steelpin_668;SteelPin
o_steelpin_669;SteelPin
o_steelpin_670;SteelPin
o_steelpin_671;SteelPin
o_steelpin_672;SteelPin
o_steelpin_673;SteelPin
o_steelpin_674;SteelPin
o_steelpin_675;SteelPin
o_steelpin_676;SteelPin
o_steelpin_677;SteelPin
o_steelpin_678;SteelPin
o_steelpin_679;SteelPin
o_steelpin_680;SteelPin
o_steelpin_681;SteelPin
o_steelpin_682;SteelPin
o_steelpin_683;SteelPin
o_steelpin_684;SteelPin
o_steelpin_685;SteelPin
o_steelpin_686;SteelPin
o_steelpin_687;SteelPin
o_steelpin_688;SteelPin
o_steelpin_689;SteelPin
o_steelpin_690;SteelPin
o_steelpin_691;SteelPin
o_steelpin_692;SteelPin
o_steelpin_693;SteelPin
o_steelpin_694;SteelPin
o_steelpin_695;SteelPin
o_steelpin_696;SteelPin
o_steelpin_697;SteelPin
o_steelpin_698;SteelPin
o_steelpin_699;SteelPin
o_steelpin_700;SteelPin
o_steelpin_701;SteelPin
o_steelpin_702;SteelPin
o_steelpin_703;SteelPin
o_steelpin_704;SteelPin
o_steelpin_705;SteelPin
o_steelpin_706;SteelPin
o_steelpin_707;SteelPin
o_steelpin_708;SteelPin
o_steelpin_709;SteelPin
o_steelpin_710;SteelPin
o_steelpin_711;SteelPin
o_steelpin_712;SteelPin
o_steelpin_713;SteelPin
o_steelpin_714;SteelPin
o_steelpin_715;SteelPin
o_steelpin_716;SteelPin
o_steelpin_717;SteelPin
o_steelpin_718;SteelPin
o_steelpin_719;SteelPin
o_steelpin_720;SteelPin
o_steelpin_721;SteelPin
o_steelpin_722;SteelPin
o_steelpin_723;SteelPin
o_steelpin_724;SteelPin
o_steelpin_725;SteelPin
o_steelpin_726;SteelPin
o_steelpin_727;SteelPin
o_steelpin_728;SteelPin
o_steelpin_729;SteelPin
o_steelpin_730;SteelPin
o_steelpin_731;SteelPin
o_steelpin_732;SteelPin
o_steelpin_733;SteelPin
o_steelpin_734;SteelPin
o_steelpin_735;SteelPin
o_steelpin_736;SteelPin
o_steelpin_737;SteelPin
o_steelpin_738;SteelPin
o_steelpin_739;SteelPin
o_steelpin_740;SteelPin
o_steelpin_741;SteelPin
