ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_compressed-air[m3]
e_checkFemale_858>true;2023-04-03 13:49:36;?;0.00116964;0.018
e_checkFemale_841>true;2023-04-03 13:50:06;?;0.00181944;0.028
e_checkFemale_1062>true;2023-04-03 13:50:57;?;0.0025992;0.04
e_checkFemale_944>true;2023-04-03 13:51:18;?;0.00058482;0.009
e_checkFemale_966>true;2023-04-03 13:51:28;?;0.00058482;0.009
e_checkFemale_864>true;2023-04-03 13:51:39;?;0.00051984;0.008
e_checkFemale_742>true;2023-04-03 13:52:00;?;0.00149454;0.023
e_checkFemale_888>true;2023-04-03 13:52:20;?;0.00025992;0.004
e_checkFemale_1083>true;2023-04-03 13:52:41;?;0.00142956;0.022
e_checkFemale_414>true;2023-04-03 13:53:34;?;0.00155952;0.024
e_checkFemale_1121>true;2023-04-03 13:54:16;?;0.00025992;0.004
e_checkFemale_847>true;2023-04-03 13:54:37;?;0.00110466;0.017
e_checkFemale_684>true;2023-04-03 13:54:47;?;0.00045486;0.007
e_checkFemale_754>true;2023-04-03 13:54:58;?;0.00045486;0.007
e_checkFemale_783>true;2023-04-03 13:55:09;?;0.00090972;0.014
e_checkFemale_685>true;2023-04-03 13:55:19;?;0.00214434;0.033
e_checkFemale_916>true;2023-04-03 13:55:29;?;0.0016245;0.025
e_checkFemale_1269>true;2023-04-03 13:55:50;?;0.00038988;0.006
e_checkFemale_927>true;2023-04-03 13:56:10;?;0.0016245;0.025
e_checkFemale_656>true;2023-04-03 13:56:20;?;0.00155952;0.024
e_checkFemale_824>true;2023-04-03 13:57:24;?;0.00233928;0.036
e_checkFemale_1371>true;2023-04-03 13:57:35;?;0.00084474;0.013
e_checkFemale_1351>true;2023-04-03 13:57:46;?;0.00214434;0.033
e_checkFemale_1307>true;2023-04-03 13:58:17;?;0.00181944;0.028
e_checkFemale_1002>true;2023-04-03 13:58:28;?;0.0;0.0
e_checkFemale_938>true;2023-04-03 13:58:38;?;0.00181944;0.028
e_checkFemale_935>true;2023-04-03 13:58:49;?;0.00220932;0.034
